id,title,runningTimeInMinutes,releaseDate,certificate,rating,ratingcount,text
tt2948372,Soul,100,2020-12-25,PG,8.0,371425,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
tt0120616,The Mummy,124,1999-05-07,PG-13,7.1,455829,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love."
tt30180830,Sasquatch Sunset,89,2024-04-19,R,6.5,37,A year in the life of a unique family. It captures the daily life of the Sasquatch with a level of detail and rigor that is simply unforgettable.
tt0090605,Aliens,137,1986-07-18,R,8.4,754823,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
tt0089218,The Goonies,114,1985-06-07,PG,7.7,294952,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
tt0472043,Apocalypto,139,2006-12-08,R,7.8,328084,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
tt2382320,No Time to Die,163,2021-10-08,PG-13,7.3,438905,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
tt0320661,Kingdom of Heaven,144,2005-05-06,R,7.3,309923,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people."
tt0320661,Kingdom of Heaven,144,2005-05-06,R,7.3,309923,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people."
tt0903624,The Hobbit: An Unexpected Journey,169,2012-12-14,PG-13,7.8,864915,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,2005-12-09,PG,6.9,423682,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,2005-12-09,PG,6.9,423682,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.
tt1386697,Suicide Squad,123,2016-08-05,PG-13,5.9,716968,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
tt6467266,Sing 2,110,2021-12-22,PG,7.4,84495,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
tt2802144,Kingsman: The Secret Service,129,2015-02-13,R,7.7,708300,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
tt1104001,TRON: Legacy,125,2010-12-17,PG,6.8,353090,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.
tt9032400,Eternals,156,2021-11-05,PG-13,6.3,379444,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations."
tt0110357,The Lion King,88,1994-06-24,G,8.5,1127790,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
tt0938283,The Last Airbender,103,2010-07-01,PG,4.0,170636,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom."
tt4633694,Spider-Man: Into the Spider-Verse,117,2018-12-14,PG,8.4,655599,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
tt0119116,The Fifth Element,126,1997-05-09,PG-13,7.6,500312,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
tt8041270,Jurassic World Dominion,147,2022-06-10,PG-13,5.6,199320,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects."
tt1201607,Harry Potter and the Deathly Hallows: Part 2,130,2011-07-15,PG-13,8.1,936694,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
tt0078346,Superman,143,1978-12-15,PG,7.4,185793,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero."
tt6264654,Free Guy,115,2021-08-13,PG-13,7.1,416052,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world."
tt6264654,Free Guy,115,2021-08-13,PG-13,7.1,416052,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world."
